Unique ID,Document ID,Payee Name,Issue Date,Agency,Department,Check Amount,Expense Category,Contract ID,Contract Purpose,Capital Project,Spending Category,Fiscal year,Calendar year
30,20130248271-1-DSB-EFT,PLAZA CONSTRUCTION CORPORATION,2013-01-22,New York Public Library,400-037-D02,503389.41,CONSTRUCTION-BUILDINGS,CT185020100015371,206 SOUTH AVENUE,850LNC02MHNB003,Capital Contracts,2013,2013
31,2013FSPP002-1-015-MD1,NEW YORK PUBLIC LIBRARY,2013-06-28,New York Public Library,CONSULTANT & ADVISORY SVCS,454043,PAYMENTS TO LIBRARIES,,,,Others,2013,2013
32,20130431313-1-DSB-EFT,HEWLETT-PACKARD COMPANY,2013-05-21,New York Public Library,400-037-D08,448491,CAPITAL PURCHASED EQUIPMENT,CT103520131416556,Desktop PC's: NYS OGS Requirement Contract - PT65350,037LNMA13DTC003,Capital Contracts,2013,2013
33,20130261259-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2013-01-29,New York Public Library,LUMP SUM-BORO OF MANHATTAN,420651,PAYMENTS TO LIBRARIES,PON10352013037003,,,Contracts,2013,2013
34,20130128670-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2012-10-17,New York Public Library,SYSTEMWIDE SERVICES,418894,PAYMENTS TO LIBRARIES,PON10352013037006,,,Contracts,2013,2012
35,20130261259-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2013-01-29,New York Public Library,LUMP SUM- BOR OF BRONX,411988,PAYMENTS TO LIBRARIES,PON10352013037004,,,Contracts,2013,2013
36,20130080830-1-DSB-EFT,PLAZA CONSTRUCTION CORPORATION,2012-09-05,New York Public Library,400-037-D02,352738.75,CONSTRUCTION-BUILDINGS,CT185020100015408,STAPLETON BRANCH LIBRARY RENOVATION & EXAPANSION,850LNC2STAPL023,Capital Contracts,2013,2012
37,20130128670-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2012-10-17,New York Public Library,LUMP SUM- BOR OF BRONX,342466,PAYMENTS TO LIBRARIES,PON10352013037004,,,Contracts,2013,2012
38,20130128670-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2012-10-17,New York Public Library,LUMP SUM-BORO OF MANHATTAN,341195,PAYMENTS TO LIBRARIES,PON10352013037003,,,Contracts,2013,2012
39,20130252500-1-DSB-EFT,GEOMATRIX SERVICES INC,2013-01-25,New York Public Library,"ACQUISITION, CONSTRUCTION, RECONSTRUCTIO",323082.94,CONSTRUCTION-BUILDINGS,CT185020111424181,"JOC HVAC WORK FOR LIBRARIES, HEALTH, HUMAN SVCS & TRANS.",850LNEA08DOH002,Capital Contracts,2013,2013
40,20130249169-1-DSB-EFT,ACCUNET SOLUTIONS INC,2013-01-22,New York Public Library,400-037-D08,319400,CAPITAL PURCHASED EQUIPMENT,CT103520131411583,Isilon Repository System,037LNCM13IRS002,Capital Contracts,2013,2013
41,20130429507-1-DSB-EFT,PLAZA CONSTRUCTION CORPORATION,2013-05-20,New York Public Library,400-037-D02,309906,CONSTRUCTION-BUILDINGS,CT185020100015408,STAPLETON BRANCH LIBRARY RENOVATION & EXAPANSION,850LNC2STAPL023,Capital Contracts,2013,2013
42,20130068715-1-DSB-EFT,PLAZA CONSTRUCTION CORPORATION,2012-08-28,New York Public Library,"ACQUISITION, CONSTRUCTION, RECONSTRUCTIO",282005,CONSTRUCTION-BUILDINGS,CT185020100015371,206 SOUTH AVENUE,850LNC02MHNB192,Capital Contracts,2013,2012
43,20130198376-1-DSB-EFT,PLAZA CONSTRUCTION CORPORATION,2012-12-12,New York Public Library,"ACQUISITION, CONSTRUCTION, RECONSTRUCTIO",278325.4,CONSTRUCTION-BUILDINGS,CT185020100015371,206 SOUTH AVENUE,850LNC02MHNB192,Capital Contracts,2013,2012
44,20130447446-1-DSB-EFT,ATLAS RESTORATION CORP,2013-05-29,New York Public Library,"ACQUISITION, CONSTRUCTION, RECONSTRUCTIO",270768.28,CONSTRUCTION-BUILDINGS,CT185020121439723,HVAC 4 LIBRARIES,850LNEA08MHV400,Capital Contracts,2013,2013
45,20130125560-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2012-10-15,New York Public Library,SYSTEMWIDE SERVICES,244929.26,PAYMENTS TO LIBRARIES,PON103512BTOPFED,,,Contracts,2013,2012
46,20130309691-1-DSB-EFT,PLAZA CONSTRUCTION CORPORATION,2013-03-04,New York Public Library,400-037-D02,244900.5,CONSTRUCTION-BUILDINGS,CT185020100015371,206 SOUTH AVENUE,850LNC02MHNB003,Capital Contracts,2013,2013
47,20130239041-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2013-01-15,New York Public Library,SYSTEMWIDE SERVICES,241085.96,PAYMENTS TO LIBRARIES,PON103513BTOPDOIT2,,,Contracts,2013,2013
48,20130037468-1-DSB-EFT,BQE INDUSTRIES INC,2012-07-31,New York Public Library,400-037-D02,223137.9,CONSTRUCTION-BUILDINGS,CT185020100020324,REQUIREMENTS CONTRACTS FOR ROOF REPLACEMENTS AND RELATED,850LNCA09DOH004,Capital Contracts,2013,2012
49,20130431313-1-DSB-EFT,HEWLETT-PACKARD COMPANY,2013-05-21,New York Public Library,"CITY COUNCIL FUNDING FOR ACQUISITION, CO",200339,CAPITAL PURCHASED EQUIPMENT,CT103520131416556,Desktop PC's: NYS OGS Requirement Contract - PT65350,037LNMA13DTC002,Capital Contracts,2013,2013
50,20130213099-1-DSB-AD,PLAZA CONSTRUCTION CORPORATION,2013-05-14,New York Public Library,400-037-D02,189655,CONSTRUCTION-BUILDINGS,CT185020100015371,206 SOUTH AVENUE,850LNC02MHNB003,Capital Contracts,2013,2013
51,20130252500-1-DSB-EFT,GEOMATRIX SERVICES INC,2013-01-25,New York Public Library,"CITY COUNCIL FUNDING FOR ACQUISITION, CO",180773.58,CONSTRUCTION-BUILDINGS,CT185020111424181,"JOC HVAC WORK FOR LIBRARIES, HEALTH, HUMAN SVCS & TRANS.",850LNCA08PBY004,Capital Contracts,2013,2013
52,20130261259-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2013-01-29,New York Public Library,LUMP SUM-BORO OF STATEN ISL,178130,PAYMENTS TO LIBRARIES,PON10352013037005,,,Contracts,2013,2013
53,20130023562-1-DSB-EFT,PLAZA CONSTRUCTION CORPORATION,2012-07-23,New York Public Library,400-037-D02,176872,CONSTRUCTION-BUILDINGS,CT185020100015408,STAPLETON BRANCH LIBRARY RENOVATION & EXAPANSION,850LNC2STAPL023,Capital Contracts,2013,2012
54,2013FSPP002-1-015-MD1,NEW YORK PUBLIC LIBRARY,2013-06-28,New York Public Library,LUMP SUM- BOR OF BRONX,171233,PAYMENTS TO LIBRARIES,,,,Others,2013,2013
55,20130464071-1-DSB-EFT,HEWLETT-PACKARD COMPANY,2013-06-10,New York Public Library,"CITY COUNCIL FUNDING FOR ACQUISITION, CO",171011,CAPITAL PURCHASED EQUIPMENT,CT103520131416556,Desktop PC's: NYS OGS Requirement Contract - PT65350,037LNMA13DTC002,Capital Contracts,2013,2013
56,2013FSPP002-1-015-MD1,NEW YORK PUBLIC LIBRARY,2013-06-28,New York Public Library,LUMP SUM-BORO OF MANHATTAN,170598,PAYMENTS TO LIBRARIES,,,,Others,2013,2013
57,20130464071-1-DSB-EFT,HEWLETT-PACKARD COMPANY,2013-06-10,New York Public Library,400-037-D08,166812,CAPITAL PURCHASED EQUIPMENT,CT103520131416556,Desktop PC's: NYS OGS Requirement Contract - PT65350,037LNMA13DTC003,Capital Contracts,2013,2013
58,20130078410-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2012-09-04,New York Public Library,SYSTEMWIDE SERVICES,165151,PAYMENTS TO LIBRARIES,PON10352012037009,,,Contracts,2013,2012
59,20130095124-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2012-09-19,New York Public Library,400-037-008,163086,CONSTRUCTION-BUILDINGS,PRC2850RW10C2P8109,,850LNCEA09MP003,Capital Contracts,2013,2012
60,20130197330-1-DSB-EFT,HILL INTERNATIONAL INC.,2012-12-12,New York Public Library,"CITY COUNCIL FUNDING FOR ACQUISITION, CO",154255.06,CONSTRUCTION-BUILDINGS,CT185020040018658,AND LIBRARY UNITS,850LNC4KBREN200,Capital Contracts,2013,2012
61,20130331058-1-DSB-EFT,ATLAS RESTORATION CORP,2013-03-19,New York Public Library,"ACQUISITION, CONSTRUCTION, RECONSTRUCTIO",149272.58,CONSTRUCTION-BUILDINGS,CT185020121439723,HVAC 4 LIBRARIES,850LNEA08MHV400,Capital Contracts,2013,2013
62,20130095124-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2012-09-19,New York Public Library,400-037-008,136914,CONSTRUCTION-BUILDINGS,PRC2850BC11C03P109,,850LNCEA09MP003,Capital Contracts,2013,2012
63,20130083677-1-DSB-EFT,NICHOLSON & GALLOWAY INC,2012-09-10,New York Public Library,"ACQUISITION, CONSTRUCTION, RECONSTRUCTIO",121122.57,CONSTRUCTION-BUILDINGS,CT185020101404612,JEFFERSON MARKET BRANCH LIBRARY EXTERIOR,850LNC3JMADA015,Capital Contracts,2013,2012
64,20130065562-1-DSB-EFT,GEOMATRIX SERVICES INC,2012-08-27,New York Public Library,400-037-D08,120294.89,CONSTRUCTION-BUILDINGS,CT185020111424181,"JOC HVAC WORK FOR LIBRARIES, HEALTH, HUMAN SVCS & TRANS.",850LNC005CC1016,Capital Contracts,2013,2012
65,20130248271-1-DSB-EFT,PLAZA CONSTRUCTION CORPORATION,2013-01-22,New York Public Library,"ACQUISITION, CONSTRUCTION, RECONSTRUCTIO",117860.89,CONSTRUCTION-BUILDINGS,CT185020100015371,206 SOUTH AVENUE,850LNC02MHNB192,Capital Contracts,2013,2013
66,20130128670-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2012-10-17,New York Public Library,SYSTEMWIDE SERVICES,116664,PAYMENTS TO LIBRARIES,PON10352013037006,,,Contracts,2013,2012
67,20130051759-1-DSB-EFT,RICE ARCHITECTURE P C,2012-08-13,New York Public Library,400-037-D08,113450.33,DESIGN-CONSULTANT-BUILDINGS,CTA185020100009328,A&E SERVICES CONSORTIUM REQUIREMENTS CONTRACT,850LNEMA08WS014,Capital Contracts,2013,2012
68,20130185157-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2012-12-03,New York Public Library,SYSTEMWIDE SERVICES,104723,PAYMENTS TO LIBRARIES,PON10352013037006,,,Contracts,2013,2012
69,20130341561-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2013-03-27,New York Public Library,SYSTEMWIDE SERVICES,104723,PAYMENTS TO LIBRARIES,PON10352013037006,,,Contracts,2013,2013
70,20130261259-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2013-01-29,New York Public Library,SYSTEMWIDE SERVICES,104723,PAYMENTS TO LIBRARIES,PON10352013037006,,,Contracts,2013,2013
71,20130386364-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2013-04-24,New York Public Library,SYSTEMWIDE SERVICES,104723,PAYMENTS TO LIBRARIES,PON10352013037006,,,Contracts,2013,2013
72,20130308677-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2013-03-04,New York Public Library,SYSTEMWIDE SERVICES,104723,PAYMENTS TO LIBRARIES,PON10352013037006,,,Contracts,2013,2013
73,20130435104-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2013-05-24,New York Public Library,SYSTEMWIDE SERVICES,104723,PAYMENTS TO LIBRARIES,PON10352013037006,,,Contracts,2013,2013
74,20130220665-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2013-01-02,New York Public Library,SYSTEMWIDE SERVICES,104723,PAYMENTS TO LIBRARIES,PON10352013037006,,,Contracts,2013,2013
75,20130152489-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2012-10-31,New York Public Library,SYSTEMWIDE SERVICES,104723,PAYMENTS TO LIBRARIES,PON10352013037006,,,Contracts,2013,2012
76,20130220137-1-DSB-EFT,"S & N BUILDERS, INC.",2013-01-02,New York Public Library,"CITY COUNCIL FUNDING FOR ACQUISITION, CO",102103.16,CONSTRUCTION-BUILDINGS,PRC2850CONV0001530,,850LNCSAGREA013,Capital Contracts,2013,2013
77,20130399763-1-DSB-EFT,ATLAS RESTORATION CORP,2013-04-30,New York Public Library,"ACQUISITION, CONSTRUCTION, RECONSTRUCTIO",100654.95,CONSTRUCTION-BUILDINGS,CT185020121439723,HVAC 4 LIBRARIES,850LNEA08MHV400,Capital Contracts,2013,2013
78,20130233822-1-DSB-EFT,BQE INDUSTRIES INC,2013-01-10,New York Public Library,400-037-D02,96296.75,CONSTRUCTION-BUILDINGS,CT185020100020324,REQUIREMENTS CONTRACTS FOR ROOF REPLACEMENTS AND RELATED,850LNCA09DOH005,Capital Contracts,2013,2013
79,20130397634-1-DSB-EFT,NICHOLSON & GALLOWAY INC,2013-04-29,New York Public Library,"ACQUISITION, CONSTRUCTION, RECONSTRUCTIO",95000,CONSTRUCTION-BUILDINGS,CT185020101404612,JEFFERSON MARKET BRANCH LIBRARY EXTERIOR,850LNC3JMADA015,Capital Contracts,2013,2013
80,20130137723-1-DSB-EFT,ARCADIA ELECTRICAL COMPANY INC,2012-10-23,New York Public Library,"CITY COUNCIL FUNDING FOR ACQUISITION, CO",91751.54,CONSTRUCTION-BUILDINGS,CT185020121419036,"JOCS Electrical work for Fire Libraries, Health, Human Svc",850LNBXA08LS300,Capital Contracts,2013,2012
81,20130424729-1-DSB-EFT,GEOMATRIX SERVICES INC,2013-05-17,New York Public Library,"ACQUISITION, CONSTRUCTION, RECONSTRUCTIO",90224.83,CONSTRUCTION-BUILDINGS,CT185020111424181,"JOC HVAC WORK FOR LIBRARIES, HEALTH, HUMAN SVCS & TRANS.",850LNEA08DOH002,Capital Contracts,2013,2013
82,20130062802-1-DSB-EFT,EF PRO CONTRACTING INC,2012-08-22,New York Public Library,400-037-D02,89730,CONSTRUCTION-BUILDINGS,CT185020100009972,MARINERS HARBOR NEW BRANCH LIBRARY,850LNC02MHNB006,Capital Contracts,2013,2012
83,20130128670-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2012-10-17,New York Public Library,LUMP SUM-BORO OF STATEN ISL,87457,PAYMENTS TO LIBRARIES,PON10352013037005,,,Contracts,2013,2012
84,20130185993-1-DSB-EFT,ARCADIA ELECTRICAL COMPANY INC,2012-12-03,New York Public Library,400-037-D08,87447.82,CONSTRUCTION-BUILDINGS,CT185020121419036,"JOCS Electrical work for Fire Libraries, Health, Human Svc",850LNMNA08LS100,Capital Contracts,2013,2012
85,20130397714-1-DSB-EFT,ARCADIA ELECTRICAL COMPANY INC,2013-04-29,New York Public Library,400-037-D08,86462.77,CONSTRUCTION-BUILDINGS,CT185020121419036,"JOCS Electrical work for Fire Libraries, Health, Human Svc",850LNMNA08LS300,Capital Contracts,2013,2013
86,20130247962-1-DSB-EFT,NICHOLSON & GALLOWAY INC,2013-01-22,New York Public Library,"ACQUISITION, CONSTRUCTION, RECONSTRUCTIO",82161.29,CONSTRUCTION-BUILDINGS,CT185020101404612,JEFFERSON MARKET BRANCH LIBRARY EXTERIOR,850LNC3JMADA015,Capital Contracts,2013,2013
87,20130075099-1-DSB-EFT,ARCADIA ELECTRICAL COMPANY INC,2012-08-29,New York Public Library,"CITY COUNCIL FUNDING FOR ACQUISITION, CO",78937.71,CONSTRUCTION-BUILDINGS,CT185020121419036,"JOCS Electrical work for Fire Libraries, Health, Human Svc",850LNBXA08LS100,Capital Contracts,2013,2012
88,20130324005-1-DSB-EFT,PLAZA CONSTRUCTION CORPORATION,2013-03-15,New York Public Library,400-037-D08,71250,CONSTRUCTION-BUILDINGS,CT185020100015408,STAPLETON BRANCH LIBRARY RENOVATION & EXAPANSION,850LNC2STAPL045,Capital Contracts,2013,2013
89,20130022594-1-DSB-EFT,BQE INDUSTRIES INC,2012-07-23,New York Public Library,400-037-008,69166.66,CONSTRUCTION-BUILDINGS,CT185020100020324,REQUIREMENTS CONTRACTS FOR ROOF REPLACEMENTS AND RELATED,850LNE08MNBW300,Capital Contracts,2013,2012
90,20130217714-1-DSB-EFT,"FIVE STAR CONTRACTING CO., INC",2012-12-28,New York Public Library,400-037-D08,67224.94,CONSTRUCTION-BUILDINGS,CT185020111429300,JOC GENERAL CONSTRUCTION FOR LIBRARY UNITS,850LNCA11125010,Capital Contracts,2013,2012
91,20130259825-1-DSB-EFT,ARCADIA ELECTRICAL COMPANY INC,2013-01-28,New York Public Library,400-037-D08,65951.41,CONSTRUCTION-BUILDINGS,CT185020121419036,"JOCS Electrical work for Fire Libraries, Health, Human Svc",850LNMNA08LS500,Capital Contracts,2013,2013
92,20130386916-1-DSB-EFT,PLAZA CONSTRUCTION CORPORATION,2013-04-24,New York Public Library,"ACQUISITION, CONSTRUCTION, RECONSTRUCTIO",62146.15,CONSTRUCTION-BUILDINGS,CT185020100015371,206 SOUTH AVENUE,850LNC02MHNB005,Capital Contracts,2013,2013
93,20130059228-1-DSB-EFT,ARCADIA ELECTRICAL COMPANY INC,2012-08-20,New York Public Library,400-037-X01,58422.65,CONSTRUCTION-BUILDINGS,CT185020121419036,"JOCS Electrical work for Fire Libraries, Health, Human Svc",850LNBXA08LS400,Capital Contracts,2013,2012
94,20130059228-1-DSB-EFT,ARCADIA ELECTRICAL COMPANY INC,2012-08-20,New York Public Library,"CITY COUNCIL FUNDING FOR ACQUISITION, CO",57245.69,CONSTRUCTION-BUILDINGS,CT185020121419036,"JOCS Electrical work for Fire Libraries, Health, Human Svc",850LNBXA08LS700,Capital Contracts,2013,2012
95,20130286409-1-DSB-EFT,"FIVE STAR CONTRACTING CO., INC",2013-02-19,New York Public Library,"CITY COUNCIL FUNDING FOR ACQUISITION, CO",55062.25,CONSTRUCTION-BUILDINGS,CT185020111429300,JOC GENERAL CONSTRUCTION FOR LIBRARY UNITS,850LNCA10GRC004,Capital Contracts,2013,2013
96,20130167216-1-DSB-EFT,EF PRO CONTRACTING INC,2012-11-19,New York Public Library,400-037-D02,53100,CONSTRUCTION-BUILDINGS,CT185020100009972,MARINERS HARBOR NEW BRANCH LIBRARY,850LNC02MHNB006,Capital Contracts,2013,2012
97,20130309531-1-DSB-EFT,ARCADIA ELECTRICAL COMPANY INC,2013-03-04,New York Public Library,"CITY COUNCIL FUNDING FOR ACQUISITION, CO",52542.66,CONSTRUCTION-BUILDINGS,CT185020121419036,"JOCS Electrical work for Fire Libraries, Health, Human Svc",850LNCA09TRE004,Capital Contracts,2013,2013
98,20130404942-1-DSB-EFT,"ACS SYSTEM ASSOCIATES, INC",2013-05-06,New York Public Library,"ACQUISITION, CONSTRUCTION, RECONSTRUCTIO",51870,CONSTRUCTION-BUILDINGS,CT185020121444122,"REPLACEMENT OF HVAC, BMS & FIRE ALARM SYSTEM",850LNEM08CLB001,Capital Contracts,2013,2013
99,20130421029-1-DSB-EFT,GREENMAN-PEDERSEN INC,2013-05-14,New York Public Library,"ACQUISITION, CONSTRUCTION, RECONSTRUCTIO",50457,DESIGN-CONSULTANT-BUILDINGS,CT185020070020496,,850LNEA08MH2001,Capital Contracts,2013,2013
100,20130023657-1-DSB-EFT,"FRAMAN MECHANICAL, INC",2012-07-23,New York Public Library,"ACQUISITION, CONSTRUCTION, RECONSTRUCTIO",49701.85,CONSTRUCTION-BUILDINGS,CT185020090039816,STAPLETON BRANCH LIBRARY,850LNC2STAPL003,Capital Contracts,2013,2012
101,20130337855-1-DSB-EFT,NICHOLSON & GALLOWAY INC,2013-03-25,New York Public Library,"ACQUISITION, CONSTRUCTION, RECONSTRUCTIO",46702,CONSTRUCTION-BUILDINGS,CT185020101404612,JEFFERSON MARKET BRANCH LIBRARY EXTERIOR,850LNC3JMADA015,Capital Contracts,2013,2013
102,20130061122-1-DSB-AD,PREMIER ELECTRICAL,2012-10-01,New York Public Library,"ACQUISITION, CONSTRUCTION, RECONSTRUCTIO",46255.49,CONSTRUCTION-BUILDINGS,CT185020100009969,STAPLETON BRANCH LIBRARY RENOVATION,850LNC2STAPL020,Capital Contracts,2013,2012
103,20130239041-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2013-01-15,New York Public Library,SYSTEMWIDE SERVICES,45868.28,PAYMENTS TO LIBRARIES,PON103513BTOPFED#2,,,Contracts,2013,2013
104,20130386364-1-DSB-EFT,NEW YORK PUBLIC LIBRARY,2013-04-24,New York Public Library,SYSTEMWIDE SERVICES,45584.89,PAYMENTS TO LIBRARIES,PON103513BTOPFED#2,,,Contracts,2013,2013
105,2013FSPP002-1-015-MD1,NEW YORK PUBLIC LIBRARY,2013-06-28,New York Public Library,LUMP SUM-BORO OF STATEN ISL,43729,PAYMENTS TO LIBRARIES,,,,Others,2013,2013
106,20130206172-1-DSB-EFT,ACE CONTRACTING INC.,2012-12-19,New York Public Library,"ACQUISITION, CONSTRUCTION, RECONSTRUCTIO",42442.02,CONSTRUCTION-BUILDINGS,CT185020100015436,MARINERS HARBOR NEW HARBOR BRANCH LIBRARY,850LNC02MHNB192,Capital Contracts,2013,2012
